plnr,studieprogram,campus,år,termin
45108,MASKA,Førde,2022,Høst
45291,MPUV,Bergen,2021,Vår
45296,V-COA,Bergen,2024,Høst
45684,HSPED,Stord,2024,Høst
45758,VTPHR,Førde,2024,Høst
45876,HSPED,Stord,2023,Høst
46251,MARA,Bergen,2024,Høst
46302,RUTDLEI,Sogndal,2023,Høst
46513,BSOSN,Sogndal,2024,Høst
46686,VRA,Bergen,2024,Høst
46808,V-UVNN,Bergen,2024,Høst
47109,V-UVN,Bergen,2024,Høst
47186,KFK-ENB1-N,Bergen,2024,Høst
47229,PHDINN,Sogndal,2022,Høst
47538,V-UVNN,Bergen,2024,Høst
47632,MPUV,Bergen,2022,Vår
47727,MADL,Førde,2023,Høst
47892,RUTDLEI,Bergen,2024,Høst
47957,V-THO,Bergen,2024,Høst
48079,VSKS,Bergen,2023,Høst
48197,MARA,Bergen,2023,Høst
48615,EVUMFLKI,Bergen,2024,Høst
48843,PT,Sogndal,2024,Høst
48944,MASP,Førde,2023,Høst
48950,KK-MAHE1,Bergen,2024,Høst
49246,KFK-NOU2-N,Bergen,2024,Høst
49385,VTPHR,Førde,2024,Høst
49650,PSBU,Førde,2023,Høst
49769,RLIL,Sogndal,2021,Høst
49893,MPUV,Bergen,2024,Vår
50128,MSFH,Bergen,2023,Høst
50337,ENKELTEMNE,Førde,2024,Høst
50540,V-NEAK,Bergen,2024,Høst
50896,MSFH,Førde,2022,Høst
50985,EVUEFLKI,Bergen,2024,Høst
51745,MADL,Førde,2021,Høst
51789,PSBU,Førde,2023,Høst
52469,MADL,Førde,2023,Høst
52489,FORNS,Førde,2024,Høst
52489,VTPHR,Førde,2024,Høst
52753,KFK-NOB1-N,Bergen,2024,Høst
52838,MA-KBP4,Bergen,2021,Høst
52991,MPUV,Bergen,2023,Vår
53431,MASKA,Førde,2021,Høst
53484,KFK-NOB1-N,Bergen,2024,Høst
53782,HSPED,Stord,2024,Høst
53887,MASP,Førde,2023,Høst
53968,HMA,Bergen,2024,Høst
54102,HSPED,Stord,2024,Høst
54102,PHDH,Bergen,2022,Høst
54110,YFL3,Bergen,2024,Høst
54214,MADL,Førde,2021,Høst
54278,MARA,Bergen,2024,Høst
54287,MADI,Førde,2024,Høst
54344,VRA,Bergen,2024,Høst
54491,KK-SPESB,Sogndal,2024,Høst
54676,MASKA,Førde,2021,Høst
54700,MADL,Bergen,2024,Høst
54812,KFK-NOU2-N,Bergen,2024,Høst
54909,HMA,Bergen,2023,Høst
54959,BVPLD,Sogndal,2023,Høst
